,Marque,reseau,exploit,prix,écran
1010,Apple iPhone XS Max 512 Go Double SIM Or,['Réseau 4G'],['iOS 12'],"['707,99 €']","['Ecran 6.5""']"
1011,Google Pixel 3 64 Go Blanc,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],"['285,99 €']","['Ecran 5.5""']"
1012,Samsung Galaxy A50 128 Go Double SIM (RAM 4 Go) Bleu,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],['245 €'],"['Ecran 6.4""']"
1013,Xiaomi Redmi 9A 32 Go Double SIM Gris granite,['Réseau 4G'],['Mémoire 32 Go / RAM 2 Go'],['161 €'],"['Ecran 6.53""']"
1014,Apple iPhone 7 Plus 32 Go Or,['Réseau 4G'],['iOS 10'],['245 €'],"['Ecran 5.5""']"
1015,Apple iPhone 7 256 Go Noir mat,['Réseau 4G'],['iOS 10'],['210 €'],"['Ecran 4.7""']"
1016,Apple iPhone XR 64 Go Double SIM Rouge mat,['Réseau 4G'],['iOS 14'],"['389,99 €']","['Ecran 6.1""']"
1017,Apple iPhone XR 64 Go Double SIM Rouge mat,['Réseau 4G'],['iOS 14'],"['389,99 €']","['Ecran 6.1""']"
1018,Apple iPhone 7 4G 128 Go Noir MN8L2,['Réseau 4G'],['iOS'],"['219,99 €']","['Ecran 4""']"
1019,Motorola RAZR V3 Bleu cosmique,['Single-SIM (SIM unique)'],['Couleur Bleu cosmique'],['86 €'],"['Ecran 2.2""']"
1020,BlackBerry Bold 9700 Noir,['Réseau 3G'],['BlackBerry Handheld Software'],"['52,90 €']","['Ecran 2.44""']"
1021,BLACKVIEW A80 Pro 64 Go Rouge,['Double SIM'],NA,"['109,89 €']",['Android']
1022,Apple iPhone 12 mini Noir 256 Go,['Réseau 5G'],['iOS 14'],['999 €'],"['Ecran 5.4""']"
1023,Samsung Galaxy S9 Gris 64 Go Double SIM,['Android'],['Double SIM'],"['293,99 €']","['Ecran 6.2""']"
1024,Samsung Galaxy A20s 3Go Ram 32Go Rom Double Sim - Bleu,['Double SIM'],NA,['159 €'],['Android']
1025,Apple iPhone SE 32 Go Gris,['Réseau 4G'],['iOS 10'],"['139,80 €']","['Ecran 4""']"
1026,Samsung Galaxy S7 edge 32 Go Or rosé,['Réseau 4G'],['Mémoire 32 Go / RAM 4 Go'],['192 €'],"['Ecran 5.5""']"
1027,Samsung Galaxy S4 I9500 3G - Noir,['Réseau 3G'],['Android'],"['69,59 €']","['Ecran 5""']"
1028,Huawei P Smart 2021 128 Go Double SIM Vert,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['189,87 €']","['Ecran 6.67""']"
1029,Apple iPhone 8 Plus 256 Go Rouge mat,['Réseau 4G'],['iOS 11'],"['399,49 €']","['Ecran 5.5""']"
1030,Huawei Mate 20 Lite 64 Go Double SIM Noir,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],['209 €'],"['Ecran 6.3""']"
1031,Apple iPhone SE (2e génération) 256 Go Double SIM Noir,['Réseau 4G'],['iOS 13'],"['445,56 €']","['Ecran 4.7""']"
1032,Samsung Galaxy A21s Double SIM 3/32 Go Noir,['Double SIM'],NA,"['183,50 €']",['Android']
1033,Apple iPhone 7 Plus 32 Go Rose,['Réseau 4G'],['iOS 10'],['238 €'],"['Ecran 5.5""']"
1034,"Samsung Galaxy Watch Active2 Stainless Steel 40mm, or",['Single-SIM (SIM unique)'],NA,"['254,99 €']",['Android']
1035,Samsung Galaxy S9+ 64 Go Double SIM Noir minuit,['Réseau 4G'],['Mémoire 64 Go / RAM 6 Go'],"['299,98 €']","['Ecran 6.2""']"
1036,Samsung Galaxy S6 edge 32 Go Saphir noir,['Réseau 4G'],['Mémoire 32 Go / RAM 3 Go'],"['143,46 €']","['Ecran 5.1""']"
1037,Xiaomi Redmi 9 32 Go Double SIM Gris charbon,['Réseau 4G'],['Mémoire 32 Go / RAM 3 Go'],['158 €'],"['Ecran 6.53""']"
1038,Alcatel 3X 5058Y 5.7 Q1.2Ghz 32GB 4G NFC Azul,['Single-SIM (SIM unique)'],NA,"['223,92 €']",['Réseau 4G']
1039,Xiaomi Mi 10T 5G 128 Go Double SIM Argent,['Réseau 5G'],['Mémoire 128 Go / RAM 6 Go'],['390 €'],"['Ecran 6.67""']"
1040,Apple iPhone 12 Pro Max Graphite 512 Go,['Réseau 5G'],['iOS 14'],"['1 628,88 €']","['Ecran 6.7""']"
1041,Wiko U FEEL 16 Go Double SIM Gris,['Réseau 4G'],['Mémoire 16 Go / RAM 3 Go'],['90 €'],"['Ecran 5""']"
1042,Apple iPhone 12 mini Vert 256 Go,['Réseau 5G'],['iOS 14'],['1 049 €'],"['Ecran 5.4""']"
1043,Huawei P20 lite 64 Go Bleu,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],['189 €'],"['Ecran 5.84""']"
1044,Huawei P10 64 Go Noir graphite,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],"['231,99 €']","['Ecran 5.1""']"
1045,Huawei P30 lite 128 Go (RAM 6 Go) Double SIM Noir minuit,['Double SIM'],NA,['229 €'],['Android']
1046,Samsung Galaxy S5 16 Go Noir charbon,['Réseau 4G'],['Mémoire 16 Go / RAM 2 Go'],"['92,45 €']","['Ecran 5.1""']"
1047,Xiaomi Redmi Note 9 64 Go Double SIM Noir onyx,['Android'],['Double SIM'],"['233,25 €']",['Mémoire 64 Go / RAM 3 Go']
1048,Xiaomi Redmi 9A 32 Go Double SIM Vert,['Réseau 4G'],['Mémoire 32 Go / RAM 2 Go'],"['129,60 €']","['Ecran 6.53""']"
1049,Apple iPhone 6s 128 Go Argent,['Réseau 4G'],['iOS 11'],"['165,89 €']","['Ecran 4.7""']"
1050,Apple iPhone 6s 128 Go Gris,['Réseau 4G'],['iOS 9'],"['165,89 €']","['Ecran 4.7""']"
1051,Samsung Galaxy Note20 Ultra 5G Simple SIM 256 Go Bronze,['Réseau 5G'],['Android'],['984 €'],"['Ecran 6.9""']"
1052,Samsung Galaxy Note20 Ultra 5G Simple SIM 256 Go Bronze,['Réseau 5G'],['Android'],['984 €'],"['Ecran 6.9""']"
1053,Samsung Galaxy Note20 Ultra 5G Simple SIM 256 Go Bronze,['Réseau 5G'],['Android'],['984 €'],"['Ecran 6.9""']"
1054,OnePlus Nord 256 Go Double SIM Gris onyx,['Mémoire 256 Go / RAM 12 Go'],['Android'],"['408,88 €']",['Réseau 5G']
1055,Samsung Galaxy S9 + Plus G965FD 6 Go Ram 128 Go Rom Dual-Sim Gris,['Android'],['Double SIM'],"['339,99 €']","['Ecran 6.2""']"
1056,Wiko View 2 Go Dual SIM 32 Go Noir,['Android 8.1 Oreo'],['Double SIM'],"['178,37 €']","['Ecran 5.7""']"
1057,Sony Xperia 5 II 5G Dual SIM 256 Go Bleu,['Réseau 5G'],['Mémoire 256 Go / RAM 8 Go'],"['719,99 €']","['Ecran 5""']"
